ticker,empresa,setor,industria,pl,fwdPE,evEbitda,roe,opMargin,fcfYield,ebitdaYield,debtEquity,divYield,moat,qualityScore,watchlistScore
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,11.4407425,13.705254,8.829,0.37903,0.16393,0.11837698904197495,0.11326667984772933,26.174,6.36,8.5,65.7411067193676,76.9870385165251
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,22.684772,17.204796,13.132,0.32930002,0.40617,0.016145738155058032,0.07614855075540528,35.608,0.37,9.0,84.92094861660078,75.30499957951392
UNP,Union Pacific Corporation,Industrials,Railroads,22.678043,20.050037,15.252,0.40686,0.40357,0.024641116630029356,0.06556574818620337,162.246,2.03,8.0,81.36363636363637,74.1097678916828
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,26.11424,18.549622,17.486,0.13939999,0.44282,0.04338678505174772,0.05718707502848168,38.392,0.95,9.5,78.98221343873517,74.05120469262468
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,22.38097,19.111557,16.53,,0.44252998,0.030833006724936208,0.06049674052299219,,2.75,9.0,82.3913043478261,74.03307123034227
CNI,Canadian National Railway Compa,Industrials,Railroads,22.557116,19.462969,10.505,0.21846001,0.38411,0.03556276314730285,0.09519706683245324,105.664,2.2,8.0,72.33201581027669,73.82432091497772
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,22.015724,15.400488,12.148,0.43879002,0.16961999,0.04569640984921168,0.08232009469983344,244.837,4.37,8.5,68.03359683794467,72.89205071062148
AAPL,Apple Inc.,Technology,Consumer Electronics,35.704243,30.65485,26.667,1.4147099,0.32275,0.023366519545821435,0.03749902759133544,79.548,0.37,10.0,88.68577075098814,70.67766588175932
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,12.406471,12.001378,10.762,0.15433,0.20641,0.09275703929043064,0.09292320860013578,31.458,1.2,8.0,57.173913043478265,69.55666049953746
CRM,"Salesforce, Inc.",Technology,Software - Application,19.092121,10.620496,12.332,0.16908,0.218,0.12266703271159522,0.08109270320717925,124.282,1.12,7.5,57.12450592885375,69.1522054494996
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,21.480236,20.741587,14.662,0.31112,0.23047,0.03727364612467116,0.06820260050680213,67.651,2.9,8.5,69.55533596837945,69.04075561348921
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,19.948332,16.900587,15.404,0.36083,0.22059,0.04909516003916177,0.06491720968487175,55.979,1.99,7.0,64.07114624505928,68.08241527205449
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,42.263924,26.793154,30.586,1.07459,0.49386,0.008618474596407518,0.03269477381971298,139.015,0.58,8.5,91.40316205533597,67.60354469767051
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,27.281084,24.544899,26.346,0.38884997,0.36121,0.006397744967782734,0.03795686260685959,20.026,0.25,10.0,89.46640316205533,66.71699184257001
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,27.503048,24.763475,26.649,0.38884997,0.36121,0.0063412748200786535,0.03752467739122587,20.026,0.25,10.0,89.46640316205533,65.97231099150618
ASML,ASML Holding N.V. - New York Re,Technology,Semiconductor Equipment & Materials,63.76019,38.191288,3352.417,0.52236,0.36020002,0.011394118926052686,0.00029829221923899894,12.989,0.44,10.0,89.68379446640317,64.62425363720462
AVGO,Broadcom Inc.,Technology,Semiconductors,61.68885,19.114983,43.78,0.37280998,0.48988,0.015427556944634139,0.022841265073204706,74.018,0.69,8.5,86.15612648221344,64.56531200067278
CP,Canadian Pacific Kansas City Li,Industrials,Railroads,27.428572,20.747345,12.616,0.08428001,0.37557,0.02481407394066654,0.07926610049175488,51.291,0.79,8.0,63.06324110671937,64.44855352787823
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,25.718554,23.47796,22.889,0.43372002,0.35055,0.00887877409058134,0.043688980864001546,124.943,2.61,9.0,82.25296442687747,64.26229921789589
WM,"Waste Management, Inc.",Industrials,Waste Management,32.609264,24.366796,14.649,0.29936,0.1752,0.023613872439928213,0.06826613290828855,228.408,1.59,8.5,63.231225296442695,62.69604112353881
CI,The Cigna Group,Healthcare,Healthcare Plans,11.757203,8.294666,7.185,0.16268998,0.054780003,0.09432416349579244,0.13918008891740857,72.805,2.26,7.0,42.865612648221344,62.11796737028004
