ticker,nome,setor
PSSA3,Seguros (Pessoa Seguros),Seguros
WIZC3,Wiz Soluções,Tecnologia/Fintech
PLPL3,Plucplan,Tecnologia
LREN3,Lojas Renner,Varejo/Moda
QUAL3,Qualicorp,Saúde/Planos
PETR4,Petrobras,Petróleo/Gás
CMIN3,Cemig,Energia
ASAI3,Assai (Pão de Açúcar),Varejo/Supermercados
PETR3,Petrobras,Petróleo/Gás
CEAB3,Cemig (Cia Energética),Energia
LEVE3,Leapfrog,Tecnologia/Infraestrutura
CSUD3,CSU (CS Up&Down),Construção Civil
POMO3,Ponto Frio,Varejo/Eletrodomésticos
VTRU3,Vivo (Telefónica),Telecomunicações
CSED3,C&S (Construcão e Mineração),Construção Civil
TGMA3,Tega (Máquinas Agrícolas),Máquinas/Agro
ANIM3,Anima Holding,Educação
ODPV3,OdontoPrev,Saúde/Odontologia
MOVI3,Movida,Locação de Veículos
VLID3,Vilber,Alimentos/Bebidas
SEER3,Seren Energia,Energia Renovável
VALE3,Vale,Mineradora
CASH3,Banco DM,Banco Digital
VAMO3,Vamos,Fretes/Logística
RECV3,Recovery,Recuperação de Crédito
RANI3,Ranata,Energia Renovável
CPFE3,Cpel (Celesc),Energia
GMAT3,GR,Tecnologia/Serviços
MILS3,Mills,Máquinas/Equipamentos
CURY3,Cury,Turismo/Hotelaria
