ticker,roic,earnings_yield,rank_roic,rank_ey,score,rank_final
PSSA3,0.7744,1.5873015873015872,1,1,2,1
WIZC3,0.3546,0.42194092827004215,4,2,6,2
PLPL3,0.2926,0.23980815347721823,8,12,20,3
LREN3,0.2296,0.24330900243309,12,10,22,4
QUAL3,0.1933,0.3717472118959108,19,3,22,4
PETR4,0.1785,0.25252525252525254,22,7,29,6
CMIN3,0.2667,0.19607843137254904,10,19,29,6
ASAI3,0.1941,0.24038461538461536,18,11,29,6
PETR3,0.1785,0.24390243902439027,22,9,31,9
CEAB3,0.1614,0.24875621890547267,30,8,38,10
LEVE3,0.3485,0.15772870662460567,5,34,39,11
CSUD3,0.2052,0.16501650165016502,13,30,43,12
POMO3,0.2009,0.16233766233766234,16,31,47,13
VTRU3,0.1504,0.21008403361344538,35,15,50,14
CSED3,0.1482,0.20283975659229211,36,16,52,15
POMO4,0.2009,0.15360983102918588,16,36,52,15
TGMA3,0.3204,0.13717421124828533,6,48,54,17
ANIM3,0.1437,0.20283975659229211,40,16,56,18
ODPV3,0.4754,0.1277139208173691,2,56,58,19
MOVI3,0.1529,0.16611295681063123,33,28,61,20
VLID3,0.1469,0.17152658662092624,37,25,62,21
SEER3,0.1403,0.20202020202020202,44,18,62,21
VALE3,0.1671,0.15527950310559005,28,35,63,23
CASH3,0.1313,0.2320185614849188,50,13,63,23
VAMO3,0.152,0.16025641025641024,34,32,66,25
RECV3,0.1322,0.19047619047619047,49,20,69,26
RANI3,0.1532,0.14430014430014432,32,40,72,27
CPFE3,0.1564,0.14204545454545456,31,43,74,28
MILS3,0.1859,0.12738853503184713,20,57,77,29
GMAT3,0.1249,0.17825311942959002,55,22,77,29
