ticker;setor;dy;p_vp;patrimonio_liq;roic;score
RECV3;Petróleo/Gás;15,69%;0,79;4.563.500.000,00;13,22%;19.86
BRSR5;Bancos;10,05%;0,69;11.175.000.000,00;0,00%;14.57
BMGB4;Bancos;10,78%;0,76;3.892.010.000,00;0,00%;14.18
BRSR6;Bancos;8,59%;0,68;11.175.000.000,00;0,00%;12.63
BRAP4;Mineração/Siderurgia;13,14%;1,07;9.123.790.000,00;-0,40%;12.28
BRSR3;Bancos;8,15%;0,72;11.175.000.000,00;0,00%;11.32
FESA4;Saneamento;8,73%;0,87;3.387.880.000,00;5,23%;10.03
PETR4;Petróleo/Gás;8,16%;1,21;422.934.000.000,00;17,85%;6.74
ALPA3;Telecomunicações;13,53%;2,05;4.301.190.000,00;11,84%;6.6
BLAU3;Bancos;7,18%;1,09;2.350.160.000,00;12,22%;6.59
BBDC3;Bancos;7,15%;1,12;172.239.000.000,00;0,00%;6.38
BRGE6;Bancos;4,36%;0,72;1.324.180.000,00;-50,03%;6.06
BBAS3;Bancos;5,13%;0,85;184.588.000.000,00;0,00%;6.04
UNIP3;Petróleo/Gás;17,46%;2,98;2.470.310.000,00;17,08%;5.86
PETR3;Petróleo/Gás;7,56%;1,30;422.934.000.000,00;17,85%;5.82
BBDC4;Bancos;6,85%;1,29;172.239.000.000,00;0,00%;5.31
RANI3;Papel e Celulose;7,85%;1,54;1.451.930.000,00;15,38%;5.1
GOAU4;Mineração/Siderurgia;3,19%;0,65;19.131.300.000,00;8,29%;4.91
SANB11;Bancos;6,32%;1,36;95.191.800.000,00;0,00%;4.65
SANB3;Bancos;6,13%;1,33;95.191.800.000,00;0,00%;4.61
CPLE3;Energia;8,18%;1,93;23.130.000.000,00;8,58%;4.24
BRIV4;Bancos;2,61%;0,66;1.671.490.000,00;0,00%;3.95
VALE3;Mineração/Siderurgia;8,54%;2,20;184.299.000.000,00;17,62%;3.88
GGBR4;Mineração/Siderurgia;3,00%;0,78;53.585.400.000,00;8,32%;3.85
TAEE3;Energia;7,38%;1,97;7.645.340.000,00;11,27%;3.75
SAPR11;Saneamento;4,23%;1,14;12.347.800.000,00;9,65%;3.71
TAEE4;Energia;7,30%;1,99;7.645.340.000,00;11,27%;3.67
BRGE11;Bancos;2,14%;0,73;1.324.180.000,00;-50,03%;2.93
EQTL3;Energia;5,31%;1,89;28.549.100.000,00;9,60%;2.81
ITUB3;Bancos;6,91%;2,51;195.980.000.000,00;0,00%;2.75
ITUB4;Bancos;6,46%;2,68;195.980.000.000,00;0,00%;2.41
CPFE3;Energia;5,41%;2,63;22.670.100.000,00;15,64%;2.06
ENGI11;Energia;2,79%;1,51;18.484.500.000,00;9,70%;1.85
CPLE5;Energia;3,22%;1,75;23.130.000.000,00;8,58%;1.84
PSSA3;Seguros;3,77%;2,17;15.741.200.000,00;77,44%;1.74
CPLE6;Energia;3,07%;1,84;23.130.000.000,00;8,58%;1.67
CSMG3;Saneamento;4,10%;2,47;8.578.300.000,00;13,39%;1.66
ECOR3;Energia;2,87%;1,78;4.207.980.000,00;12,89%;1.61
SBSP3;Saneamento;3,97%;2,56;42.710.300.000,00;12,78%;1.55
ENGI3;Energia;2,44%;1,73;18.484.500.000,00;9,70%;1.41
VIVT3;Telecomunicações;2,57%;2,01;68.721.700.000,00;8,60%;1.28
