rank,ticker,empresa,setor,industria,pl,ev_ebitda,roe_pct,margem_operacional_pct,fcf_yield_pct,dividend_yield_pct,score_qualidade,score_perenidade,score_seguranca,score_valuation,score_total,fonte_dados,data_base,observacoes
1,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,12.367046,9.56849102035584,64.91,,,2.8,,,,,61.4831973898858,yfinance,2026-09-06,
2,AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,13.549915,,63.43,,,1.21,,,,,60.342593666908385,yfinance,2026-09-06,
3,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,14.770099,19.05049606362849,120.51,,,4.25,,,,,60.19710860366713,yfinance,2026-09-06,
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,5.1976376,4.054530212785713,46.11,,,1.66,,,,,60.137923908690425,yfinance,2026-09-06,
5,WDC,Western Digital Corporation,Technology,Computer Hardware,17.358335,33.616647513580745,130.85,,,0.13,,,,,59.944400297066466,yfinance,2026-09-06,
6,MU,"Micron Technology, Inc.",Technology,Semiconductors,22.98937,16.541346832405505,66.64,,,0.05,,,,,59.910289461782,yfinance,2026-09-06,
7,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,18.732874,12.316804354515902,89.49,,,0.64,,,,,59.50642363293527,yfinance,2026-09-06,
8,JBL,Jabil Inc.,Technology,Electronic Components,38.91855,14.65612235710965,65.88,,,0.1,,,,,59.49799498746867,yfinance,2026-09-06,
9,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,27.028696,61.88716912636139,82.58,,,0.21,,,,,59.48222381635581,yfinance,2026-09-06,
10,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,16.80055,13.42120013962026,197.14,,,1.51,,,,,59.44059147180192,yfinance,2026-09-06,
11,MAS,Masco Corporation,Industrials,Building Products & Equipment,16.75115,11.623027437665783,5862.5,,,1.76,,,,,59.38138248847926,yfinance,2026-09-06,
12,LII,"Lennox International, Inc.",Industrials,Building Products & Equipment,17.364607,13.212829080970277,71.76,,,1.39,,,,,59.332294353045796,yfinance,2026-09-06,
13,HON,Honeywell International Inc.,Industrials,Conglomerates,8.058824,10.86851464661654,46.58,,,1.34,,,,,59.13098193002691,yfinance,2026-09-06,
14,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,16.464413,11.979653098521611,159.56,,,3.03,,,,,59.1255871886121,yfinance,2026-09-06,
15,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,39.683094,29.381047831716376,55.29,,,0.22,,,,,58.88572695909315,yfinance,2026-09-06,
16,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,16.97392,23.3056856729036,48.68,,,0.26,,,,,58.84135205616851,yfinance,2026-09-06,
17,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,17.264591,8.829710612394594,122.87,,,2.7,,,,,58.76147859922179,yfinance,2026-09-06,
18,NVDA,NVIDIA Corporation,Technology,Semiconductors,29.159492,27.46647159928175,117.21,,,0.43,,,,,58.75835443037975,yfinance,2026-09-06,
19,COR,"Cencora, Inc.",Healthcare,Medical Distribution,24.569414,13.52032191383316,96.87,,,0.73,,,,,58.62652561247216,yfinance,2026-09-06,
