rank,ticker,empresa,setor,industria,pl,ev_ebitda,roic_proxy_pct,earnings_yield_pct,ebitda_yield_pct,fcf_yield_pct,rank_qualidade,rank_preco,rank_fcf,score_total,fonte_dados,data_base,observacoes
1,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,5.1976376,,46.11,19.239509888107627,,,68.0,2.0,,0.014285714285510204,yfinance,2026-09-06,
2,HON,Honeywell International Inc.,Industrials,Conglomerates,8.058824,,46.58,12.408758399488562,,,66.0,9.0,,0.013333333333155555,yfinance,2026-09-06,
3,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,15.053492,,442.86,6.642976925221071,,,2.0,77.0,,0.012658227847941034,yfinance,2026-09-06,
4,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,14.770099,,120.51,6.770435323419295,,,14.0,71.0,,0.011764705882214533,yfinance,2026-09-06,
5,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,12.367046,,64.91,8.086005340321368,,,45.0,43.0,,0.011363636363507231,yfinance,2026-09-06,
6,MAS,Masco Corporation,Industrials,Building Products & Equipment,16.75115,,5862.5,5.969739391026884,,,1.0,103.0,,0.009615384615292159,yfinance,2026-09-06,
7,HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,16.464413,,159.56,6.073705755558975,,,10.0,97.0,,0.00934579439243602,yfinance,2026-09-06,
8,AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,13.549915,,63.43,7.380120096694333,,,46.0,62.0,,0.009259259259173525,yfinance,2026-09-06,
9,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,16.80055,,197.14,5.952186089145891,,,7.0,104.0,,0.009009009008927846,yfinance,2026-09-06,
10,DVA,DaVita Inc.,Healthcare,Medical Care Facilities,15.605598,,88.48,6.407956939554639,,,30.0,85.0,,0.008695652173837429,yfinance,2026-09-06,
11,NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,9.436363,,36.73,10.597303219471316,,,97.0,19.0,,0.008620689655098096,yfinance,2026-09-06,
12,IT,"Gartner, Inc.",Technology,Information Technology Services,16.749327,,113.58,5.970389138620315,,,18.0,102.0,,0.008333333333263889,yfinance,2026-09-06,
13,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,12.206258,,42.56,8.192518952163717,,,80.0,40.0,,0.008333333333263889,yfinance,2026-09-06,
14,ADBE,Adobe Inc.,Technology,Software - Application,15.246569,,62.95,6.558852683511943,,,47.0,79.0,,0.007936507936444948,yfinance,2026-09-06,
15,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,17.264591,,122.87,5.792202085760387,,,13.0,115.0,,0.0078124999999389655,yfinance,2026-09-06,
16,WDC,Western Digital Corporation,Technology,Computer Hardware,17.358335,,130.85,5.76092119434266,,,12.0,117.0,,0.007751937984436032,yfinance,2026-09-06,
17,PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,10.991466,,34.94,9.097967459481747,,,103.0,29.0,,0.007575757575700184,yfinance,2026-09-06,
18,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,8.280659,,30.9,12.076333538188203,,,120.0,12.0,,0.007575757575700184,yfinance,2026-09-06,
19,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,14.718061,,46.6,6.794373253378961,,,65.0,70.0,,0.007407407407352538,yfinance,2026-09-06,
20,CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,3.9560127,,27.2,25.277977494864967,,,137.0,1.0,,0.007246376811541694,yfinance,2026-09-06,
