ticker,empresa,setor,industria,preco,market_cap,enterprise_value,net_income,eps,dividend_yield,dividend_rate,pe,pe_forward,pb,ev_ebitda,ev_ebit,roe,roa,debt_equity,book_value,fonte_dados,data_base
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,150.86,42537365504.0,44921786368.0,1440000000.0,5.07,0.68,1.02,29.755423,22.30469,5.777199,21.597012676923075,,20.97,8.63,,26.113,yfinance,2026-09-06
AAPL,Apple Inc.,Technology,Consumer Electronics,319.97,4669700046848.0,4691644645376.0,128929996800.0,8.74,0.34,1.08,36.60984,33.4195,43.474186,27.933272749761887,,148.75,27.08,,7.36,yfinance,2026-09-06
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,256.46,453194874880.0,517557911552.0,6270000128.0,3.54,2.7,6.92,72.44633,15.751116,-76.350105,16.82403909833942,,,10.51,,-3.359,yfinance,2026-09-06
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,181.94,108943065088.0,97696219136.0,2691000064.0,4.38,,,41.53881,29.63255,13.763522,35.38436124614238,,34.54,6.14,,13.219,yfinance,2026-09-06
ABT,Abbott Laboratories,Healthcare,Medical Devices,108.33,187452440576.0,215221420032.0,5400999936.0,3.09,2.33,2.52,35.058254,17.861883,3.6676033,18.424913258936638,,10.58,5.33,,29.537,yfinance,2026-09-06
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,98.1,33474576384.0,33988208640.0,4652000256.0,12.78,,,7.6760564,10.054001,1.4359319,6.1074946032993775,,19.94,4.12,,68.318,yfinance,2026-09-06
ACN,Accenture plc,Technology,Information Technology Services,186.72,114261827584.0,114096177152.0,7789751808.0,12.53,3.49,6.52,14.901836,12.740905,3.5824332,8.814757889743662,,24.41,10.9,,52.121,yfinance,2026-09-06
ADBE,Adobe Inc.,Technology,Software - Application,266.51,105937731584.0,107388723200.0,7229000192.0,17.48,,,15.246569,9.691922,9.232342,11.038001670775543,,62.95,19.93,,28.867,yfinance,2026-09-06
ADI,"Analog Devices, Inc.",Technology,Semiconductors,362.25,175533834240.0,182372974592.0,4135003904.0,8.4,1.21,4.4,43.125004,22.173891,5.2318783,26.34419424742436,,12.23,6.41,,69.239,yfinance,2026-09-06
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,84.61,40778600448.0,49326600192.0,1770000000.0,3.66,2.46,2.08,23.117485,14.869425,1.7300181,16.469649127860585,,7.64,2.26,,48.907,yfinance,2026-09-06
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,277.62,110288084992.0,111572680704.0,4413499904.0,10.94,2.45,6.8,25.3766,20.720322,18.311457,17.402776501123036,,72.24,6.25,,15.161,yfinance,2026-09-06
ADSK,"Autodesk, Inc.",Technology,Software - Application,217.9,45541097472.0,45091098624.0,1642000000.0,7.71,,,28.261997,15.329524,13.461419,19.724888932289684,,53.85,11.47,,16.187,yfinance,2026-09-06
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,106.47,29475502080.0,51400499200.0,1563000064.0,5.67,2.82,3.0,18.777779,18.32893,2.1532147,13.145907293433213,,11.94,3.06,,49.447,yfinance,2026-09-06
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,124.5,67777474560.0,121909469184.0,3140999936.0,5.76,3.05,3.8,21.614582,18.157051,2.112712,13.501989876134449,,10.13,2.98,,58.929,yfinance,2026-09-06
AES,The AES Corporation,Utilities,Utilities - Diversified,14.79,10551757824.0,49523757056.0,1911000064.0,2.67,4.73,0.7,5.5393257,6.2202444,2.1341991,12.167998893979396,,9.57,2.96,,6.93,yfinance,2026-09-06
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,117.21,58762448896.0,66003447808.0,4862000128.0,9.27,2.08,2.44,12.644012,15.542125,1.9421062,10.882679060921923,,16.91,3.13,,60.352,yfinance,2026-09-06
AIG,"American International Group, I",Financial Services,Insurance - Diversified,76.21,39849689088.0,38501687296.0,2964999936.0,5.48,2.62,2.0,13.906934,8.673523,0.98480344,4.726453216423522,,7.22,1.76,,77.386,yfinance,2026-09-06
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,285.74,14093772800.0,14267973632.0,1054700032.0,20.89,1.23,3.52,13.678315,12.193675,2.313984,8.213674151840669,,18.34,2.56,,123.484,yfinance,2026-09-06
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,262.69,67338215424.0,80077447168.0,1568000000.0,6.04,1.07,2.8,43.491722,17.641153,2.838787,18.674777791044775,,6.72,2.32,,92.536,yfinance,2026-09-06
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,105.22,15121861632.0,21105461248.0,410964992.0,2.76,,,38.123188,14.639325,3.1817358,19.543939854229787,,8.92,2.52,,33.07,yfinance,2026-09-06
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,310.4,53849776128.0,52641230848.0,369494016.0,2.02,,,153.66336,48.54946,31.205389,184.44978502852177,,25.83,10.67,,9.947,yfinance,2026-09-06
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,126.28,14901678080.0,17762717696.0,57427000.0,0.27,1.3,1.64,467.70367,11.177941,1.8532434,11.981847709365107,,2.65,3.16,,68.14,yfinance,2026-09-06
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,158.635,11269406720.0,10287657984.0,413577984.0,5.76,,,27.540796,12.6417,2.670308,11.304348278612256,,10.15,7.4,,59.407,yfinance,2026-09-06
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,259.57,65634340864.0,69397340160.0,13189000192.0,49.94,1.66,4.32,5.1976376,9.40204,2.0800378,4.054530212785713,,46.11,8.68,,124.791,yfinance,2026-09-06
ALLE,Allegion plc,Industrials,Security & Protection Services,157.12,13360978944.0,15262680064.0,658600000.0,7.62,1.4,2.2,20.619423,16.07499,6.3082666,14.545583274048093,,33.73,11.03,,24.907,yfinance,2026-09-06
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,266.11,35607941120.0,35287285760.0,774710976.0,5.75,,,46.28,21.141335,26.282467,33.4623183758168,,96.56,12.34,,10.125,yfinance,2026-09-06
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,454.71,360856682496.0,358969704448.0,9267000320.0,11.6,0.47,2.12,39.199135,24.639132,14.081633,35.34906068291676,,41.07,15.48,,32.291,yfinance,2026-09-06
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,45.15,20874909696.0,34892849152.0,1106000000.0,2.38,5.76,2.6,18.970589,10.3634205,1.769062,9.86788720361991,,9.4,3.57,,25.522,yfinance,2026-09-06
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,477.57,779621105664.0,770786131968.0,6469000192.0,3.92,,,121.82908,30.90922,11.594037,80.60929732420308,,10.2,5.13,,41.191,yfinance,2026-09-06
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,237.72,54499983360.0,56315482112.0,1576269952.0,6.85,0.57,1.36,34.70365,24.770912,4.8397737,22.52004951941942,,14.56,8.16,,49.118,yfinance,2026-09-06
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,437.23,236380536832.0,279695523840.0,8743000064.0,16.09,2.31,10.08,27.17402,17.913734,20.223404,16.197330982189587,,91.47,8.67,,21.62,yfinance,2026-09-06
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,560.56,49516068864.0,43519070208.0,3948000000.0,41.37,1.21,6.8,13.549915,10.849172,7.788368,,,63.43,2.28,,71.974,yfinance,2026-09-06
