ticker,empresa,setor,industria,roe_pct,dividend_yield_pct,observacoes
AAPL,Apple Inc.,Technology,Consumer Electronics,141.47,0.34,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,24.28,,
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,38.88,0.25,
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,38.88,0.25,
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,32.93,0.31,
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,12.18,2.19,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,26.42,2.09,
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,31.11,2.9,
ABT,Abbott Laboratories,Healthcare,Medical Devices,12.33,2.68,
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,43.37,2.54,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,29.15,0.64,
AVGO,Broadcom Inc.,Technology,Semiconductors,37.28,0.65,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,32.35,1.82,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,36.08,1.95,
UNP,Union Pacific Corporation,Industrials,Railroads,40.69,1.92,
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,12.09,1.65,
MDT,Medtronic plc.,Healthcare,Medical Devices,9.84,3.43,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,17.23,,
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,13.94,0.9,
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,66.76,0.3,
SYK,Stryker Corporation,Healthcare,Medical Devices,15.2,1.07,
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,15.43,1.17,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,17.23,,
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,10.16,3.4,
CI,The Cigna Group,Healthcare,Healthcare Plans,16.27,2.13,
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,37.9,6.02,
CSX,CSX Corporation,Industrials,Railroads,23.68,1.13,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,53.38,1.42,
WM,"Waste Management, Inc.",Industrials,Waste Management,29.94,1.52,
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,12.35,2.42,
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,4.9,,"Observação temática: empresa pública sob liderança de Elon Musk; acompanhar execução em veículos elétricos, autonomia, robótica/Optimus e energia. Para exposição espacial direta, acompanhar também SPCX. X/xAI, Neuralink e Boring permanecem no radar qualitativo por não serem negociáveis diretamente em bolsa."
NVDA,NVIDIA Corporation,Technology,Semiconductors,114.29,0.47,"Observação temática: IA/aceleradores/data centers; Diego tem feeling de valorização adicional. Monitorar valuation, margens, demanda por GPUs e risco de concentração."
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,,,"Observação temática: possível reprecificação conforme aproximação do lançamento de GTA 6 e, depois, GTA 6 Online. Monitorar janela de lançamento, guidance, reservas/bookings e risco de atraso."
SPCX,Space Exploration Technologies Corp.,Industrials,Aerospace & Defense,,,"Observação temática: exposição direta negociável em bolsa ligada à tese espacial/SpaceX. Monitorar valuation, ritmo de crescimento, contratos governamentais/comerciais, lançamentos, margem, capex e risco de alta expectativa já precificada."
